עוזרת הבית | ז'אנר: דרמה, מותחן, מסתורין | שנת יציאה: 2025 | אורך סרט: 133 דקות | תקציר: מותחן סוחף, בכיכובן של סינדי סוויני ואמנדה סייפריד, המבוסס על רב המכר הבינלאומי. הסרט מוביל את הצופים אל עולם מעוות שבו השלמות היא רק אשליה ושום דבר אינו כפי שהוא נראה. | קישור לדרייב: https://drive.google.com/file/d/1eFBKdEuoVGi7mUyH_SL2jcwo-dmJeG41/view

גרינלנד בתנועה 2 | ז'אנר: אקשן, מותחן, אסונות | שנת יציאה: 2025 | אורך סרט: 118 דקות | תקציר: המשך ישיר לסרט האסונות מ-2020. ג'ון גאריטי (ג'רארד באטלר) ומשפחתו נאלצים לנדוד שוב בעקבות אסון חדש, הפעם ברחבי אירופה, כשהם מתמודדים מול סכנות טבע וקבוצות יריבות המסכנות את הישרדותם. | קישור לדרייב: https://drive.google.com/file/d/1t3KPJOIF_r6_IoDtdn3fCuT0kNqve6wx/preview

היפה והחיה 1991 | ז'אנר: אנימציה, משפחה, פנטזיה, רומנטיקה, מוזיקלי | שנת יציאה: 1991 | אורך סרט: 84 דקות | תקציר: עיבוד מונפש קלאסי של דיסני לאגדה הצרפתית. בל, נערה חולמת ואוהבת קריאה, נכלאת בטירתו של נסיך גס-רוח שהפך לחיה בגלל קללת מכשפה. כדי לשבור את הקללה, על החיה ללמוד לאהוב ולהיות אהוב לפני שנבל הקסם האחרון נושר. סרט אהוב וזוכה פרסי אוסקר. | קישור לדרייב: https://drive.google.com/file/d/1fTEWNsK8G8eVfDHSiVJQ8O2JLazX2Y7n/view?usp=drivesdk

היפה והחיה 2017 | ז'אנר: פנטזיה, רומנטיקה, מוזיקלי, משפחה | שנת יציאה: 2017 | אורך סרט: 129 דקות | תקציר: עיבוד לייב-אקשן (משולב ב-CGI) המבוסס על סרט האנימציה הקלאסי משנת 1991. בל (אמה ווטסון) נקלעת לטירתו של הנסיך המכושף (דן סטיבנס), וחייהם משתנים כאשר היא מגלה את הלב שבתוך החיה. הסרט כולל שירים חדשים לצד הלהיטים המוכרים, ומציג גרסה מרחיבה ומפוארת של הסיפור המוכר. | קישור לדרייב: https://drive.google.com/file/d/19CpEiucg1em1dxDifpAKKmWkaL8R-xX2/view?usp=drivesdk

המגן | ז'אנר: אקשן, מותחן | שנת יציאה: 2026 | אורך סרט: 107 דקות | תקציר: מייסון, סוכן לשעבר שחי בבידוד באי מרוחק, מציל נערה צעירה מסופה קטלנית ונגרר בחזרה לעימות מסוכן עם אויבים מעברו. במהלך העלילה הוא נאלץ להגן עליה, לברוח מאנשיו לשעבר, ולהילחם כדי לשרוד. | קישור לדרייב: https://drive.google.com/file/d/1tXixHap2-qymplhHhTHJdmg9dpNbDiA6/view?usp=drivesdk

קוף הדם | ז'אנר: אקשן, מותחן | שנת יציאה: 2026 | אורך סרט: 83 דקות | תקציר: מותחן אקשן עתידני המתרחש בעולם שבו שיבוטים גנטיים משמשים כחיילים. הסיפור עוקב אחר "קוף הדם", יחידת קומנדו מיוחדת, שנאלצת לצאת למשימה מסוכנת מאחורי קווי האויב כאשר אחד משלהם נופל בשבי. הסרט משלב קרב פנים אל פנים עם שאלות מוסריות על זהות, נאמנות ואנושיות בעידן הביוטכנולוגיה. | קישור לדרייב: https://drive.google.com/file/d/1_7kwJ0rzAzcw_qWIGraif21MuysHXDka/view

הארי פוטר 1 - אבן החכמים | ז'אנר: פנטזיה, הרפתקאות, משפחה | שנת יציאה: 2001 | אורך סרט: 152 דקות | תקציר: הארי פוטר, ילד יתום, מגלה ביום הולדתו ה-11 שהוא קוסם ונשלח ללמוד בבית הספר לקוסמים הוגוורטס. הוא מגלה עולם חדש מלא קסמים, חברים ואתגרים, ונאבק במכשולים כדי למנוע מהאויב שמאיים על העולם הקסום לפגוע בו. | קישור לדרייב: https://drive.google.com/file/d/16sWoYSc1YO7n5Mu5di1mMWDi-zxQxBdG/view

הארי פוטר 2 - חדר הסודות | ז'אנר: פנטזיה, הרפתקאות | שנת יציאה: 2002 | אורך סרט: 161 דקות | תקציר: הארי פוטר חוזר לשנתו השנייה בהוגוורטס ומגלה שהמפלצות הנפלאות בבית הספר מסוכנות יותר ממה שחשב. כשסודות אפלוליים מתגלים, הוא חייב להתמודד עם איומים חדשים ולגלות מי עומד מאחורי הפחדים שמאיימים על התלמידים. | קישור לדרייב: https://drive.google.com/file/d/1lOUbtBk5PQ2j0Pp_CWyC4cnEbPPTj0Yr/view

הארי פוטר 3 - האסיר מאזקבאן | ז'אנר: פנטזיה, הרפתקאות, משפחה | שנת יציאה: 2004 | אורך סרט: 142 דקות | תקציר: הארי פוטר חוזר לשנה השלישית שלו בבית הספר לכישוף ולקוסמות, ומגלה שברח מאזקבאן אסיר מסוכן שמחפש אותו. במהלך השנה, הארי מתמודד עם סודות חדשים, חברים נאמנים וסכנות מסתוריות שמאיימות על חייו ועל עולם הקוסמים. | קישור לדרייב: https://drive.google.com/file/d/1U7inZtqGdRH0LnOjGPBSuDDn8ai61rJC/view

